Garlic Mustard,15
Dock,10
Sticky Weed,9
Groundsel,6
Grass,6
Dandelions,5
Daffodils,5
Dicots,5
Red Dead Nettle,4
Brambles,4
Geranium,4
Mullein,3
Nettle,3
Ground Ivy,2
Crocuses,2
Bedstraw,2
Ferns,2
Bedstraws,2
Yucass,2
Tutsan,2
Herb Robert,2
Monocot,1
Narrow Leaf Bittercress,1
Yarrow,1
Galium Mollugo,1
Woad,1
Verburnum,1
Stinging Nettle,1
Bell Flower,1
Yew,1
Creeping Thistle,1
Hazel,1
Hogweed,1
Japanese Snowball,1
Ragwort,1
Speedwell,1
Stinking Hellebore,1
Avens,1
Rose,1
Spinach,1
Shepherd's Purse,1
Ramsons,1
Mouse or chuckweed,1
Lambs Lettuce,1
Dead Nettle,1
Tursan tree,1
Persian Speedwell,1
Parsley,1
Common Sorrel,1
